species,origin,redlist
Ranunculus laticrenatus,native,NA
Ranunculus leptomeris,native,NA
Ranunculus lingua,native,C1t
Ranunculus nemorosus,native,NA
Ranunculus opimus,native,NA
Ranunculus pannonicus,native,NA
Ranunculus peltatus,native,NA
Ranunculus peltatus x  R. penicillatus,NA,NA
Ranunculus peltatus x  R. trichophyllus,NA,NA
Ranunculus penicillatus,native,C2r
Ranunculus phragmiteti,native,NA
Ranunculus platanifolius,native,C4a
Ranunculus polyanthemos,native,NA
Ranunculus polyanthemos agg.,native,NA
Ranunculus pseudopimus,native,NA
Ranunculus pseudovertumnalis,native,NA
Ranunculus repens,native,NA
Ranunculus rionii,native,C2b
Ranunculus rionii x  R. trichophyllus,NA,NA
Ranunculus sardous,native,C2t
Ranunculus sardous subsp. sardous,native,C2t
Ranunculus sardous subsp. xatardii,native,C4b
Ranunculus sceleratus,native,NA
Ranunculus sect. Batrachium,native,NA
Ranunculus trichophyllus,native,C4a
Ranunculus vertumnalis,native,NA
Ranunculus walo-kochii,native,NA
Raphanus raphanistrum,arch,NA
Raphanus sativus,NA,NA
Raphanus sativus Hybernus Group,NA,NA
Raphanus sativus Longipinnatus Group,NA,NA
Raphanus sativus Radicula Group,NA,NA
Raphanus sativus Sativus Group,NA,NA
Rapistrum perenne,native,C3
Rapistrum rugosum,neo,NA
Rapistrum rugosum subsp. orientale,neo,NA
Rapistrum rugosum subsp. rugosum,neo,NA
Reseda alba,neo,NA
Reseda alba subsp. alba,neo,NA
Reseda lutea,arch,NA
Reseda luteola,arch,C3
Reseda odorata,neo,NA
Reseda phyteuma,arch,C1t
Reynoutria x bohemica,neo,NA
Reynoutria japonica,neo,NA
Reynoutria japonica var. compacta,neo,NA
Reynoutria japonica var. japonica,neo,NA
Reynoutria sachalinensis,neo,NA
Rhagadiolus stellatus,neo,NA
Rhamnus cathartica,native,NA
Rhaponticum carthamoides,neo,NA
Rhaponticum repens,neo,NA
Rheum officinale,neo,NA
Rheum palmatum,NA,NA
Rheum rhabarbarum,neo,NA
Rheum rhaponticum,NA,NA
Rhinanthus x fallax,native,NA
Rhinanthus x magocsyanus,native,NA
Rhinanthus alectorolophus,native,C3
Rhinanthus major,native,NA
Rhinanthus minor,native,NA
Rhinanthus minor x  Rh. riphaeus,NA,NA
Rhinanthus riphaeus,native,C2t
Rhodanthe chlorocephala,NA,NA
Rhodanthe chlorocephala subsp. rosea,NA,NA
Rhodanthe manglesii,neo,NA
Rhodiola rosea,native,C1b
Rhododendron ferrugineum,NA,NA
Rhododendron hirsutum,NA,NA
Rhododendron tomentosum,native,C3
Rhodotypos scandens,neo,NA
Rhus typhina,neo,NA
Rhynchospora alba,native,C2b
Rhynchospora fusca,native,C1t
Ribes x gordonianum,NA,NA
Ribes x nidigrolaria,NA,NA
Ribes alpinum,native,C4a
Ribes aureum,neo,NA
Ribes malvaceum,NA,NA
Ribes nigrum,native,C4b
Ribes odoratum,neo,NA
Ribes petraeum,native,C1r
Ribes rubrum,neo,NA
Ribes rubrum agg.,neo,NA
Ribes sanguineum,neo,NA
Ribes spicatum,neo,NA
Ribes uva-crispa,native,NA
Ribes uva-crispa subsp. grossularia,native,NA
Ribes uva-crispa subsp. uva-crispa,native,NA
Ricinus communis,neo,NA
Robinia x ambigua,NA,NA
Robinia hispida,NA,NA
Robinia pseudoacacia,neo,NA
Robinia viscosa,NA,NA
Rodgersia pinnata,neo,NA
Rodgersia podophylla,neo,NA
Rorippa x anceps,native,NA
Rorippa x armoracioides,native,NA
Rorippa x hungarica,native,NA
Rorippa amphibia,native,NA
Rorippa austriaca,native,NA
Rorippa palustris,native,NA
Rorippa sylvestris,native,NA
Rosa x alba,NA,NA
Rosa x centifolia,NA,NA
Rosa x francofurtana,neo,NA
Rosa agrestis,native,C4b
Rosa agrestis var. agrestis,native,NA
Rosa agrestis var. albiflora,native,NA
Rosa agrestis var. gizellae,native,NA
Rosa agrestis var. schulzei,native,NA
Rosa arvensis,native,A1
Rosa canina,native,NA
Rosa canina agg.,native,NA
Rosa canina subsp. canina,native,NA
Rosa canina subsp. corymbifera,native,NA
Rosa dumalis,native,NA
Rosa dumalis subsp. coriifolia,native,NA
Rosa dumalis subsp. dumalis,native,NA
Rosa dumalis subsp. subcanina,native,NA
Rosa dumalis subsp. subcollina,native,NA
Rosa elliptica,native,C4b
Rosa foetida,neo,NA
Rosa gallica,native,C3
Rosa glauca,neo,NA
Rosa hugonis,NA,NA
Rosa majalis,native,C2r
Rosa marginata,native,C3
Rosa micrantha,native,C3
Rosa multiflora,neo,NA
Rosa pendulina,native,NA
Rosa rubiginosa,native,NA
Rosa rubiginosa agg.,native,NA
Rosa rugosa,neo,NA
Rosa sericea,NA,NA
Rosa sericea var. pteracantha,NA,NA
Rosa sherardii,native,C3
Rosa spinosissima,native,C2b
Rosa tomentosa,native,C3
Rosa villosa,NA,NA
Rosmarinus officinalis,NA,NA
Rostraria cristata,neo,NA
Rubia tinctorum,neo,NA
Rubrivena polystachya,neo,NA
Rubus x idaeoides,native,NA
Rubus acanthodes,native,C4a
Rubus albocarpaticus,native,NA
Rubus allegheniensis,neo,NA
Rubus altissimus,native,NA
Rubus alumnus,NA,NA
Rubus ambrosius,native,C1r
Rubus ambulans,native,NA
Rubus amphimalacus,native,C1r
Rubus angustipaniculatus,native,NA
Rubus apricus,native,NA
Rubus armeniacus,neo,NA
Rubus atroroseus,NA,NA
Rubus austromoravicus,native,NA
Rubus austroslovacus,native,C4a
Rubus barberi,native,A2
Rubus barrandienicus,native,NA
Rubus bavaricus,native,C4a
Rubus bertramii,NA,NA
Rubus bicolor,native,NA
Rubus bifrons,native,NA
Rubus blanicensis,native,NA
Rubus bohemiicola,native,C3
Rubus bohemopolonicus,native,C4a
Rubus brdensis,native,C3
Rubus caesius,native,NA
Rubus caflischii,native,C1r
Rubus camptostachys,native,C2r
Rubus canadensis,neo,NA
Rubus canescens,native,C3
Rubus capitulatus,native,NA
Rubus capricollensis,native,NA
Rubus centrobohemicus,native,C3
Rubus chaerophylloides,native,C2r
Rubus chaerophyllus,native,NA
Rubus chamaemorus,native,C1r
Rubus clusii,native,NA
Rubus cockburnianus,NA,NA
Rubus constrictus,native,NA
Rubus crispomarginatus,native,NA
Rubus curvaciculatus,native,C1r
Rubus divaricatus,native,C2r
Rubus dollnensis,native,NA
Rubus eckhartii,native,NA
Rubus elatior,native,C3
Rubus epipsilos,native,C4a
Rubus evestigatus,native,C3
Rubus fabrimontanus,native,NA
Rubus fasciculatiformis,native,NA
Rubus fasciculatus,native,NA
Rubus franconicus,native,NA
Rubus fruticosus agg.,native,NA
Rubus geminatus,native,C2r
Rubus gliviciensis,native,C4a
Rubus gothicus agg.,native,NA
Rubus grabowskii,native,NA
Rubus gracilis,native,NA
Rubus graecensis,native,C3
Rubus graminicolor,native,C4a
Rubus grossus,native,NA
Rubus guentheri,native,C4b
Rubus guttiferus,native,NA
Rubus hadracanthos,native,C3
Rubus hanae,native,NA
Rubus henrici-egonis,native,NA
Rubus hercynicus infra-agg.,native,A2
Rubus holzfussii,native,C4a
Rubus idaeus,native,NA
Rubus illecebrosus,neo,NA
Rubus jarae-cimrmanii,native,NA
Rubus josefianus,native,C4a
Rubus josholubii,native,C3
Rubus juennensis,native,NA
Rubus kletensis,native,C4a
Rubus koehleri,native,NA
Rubus kuleszae,native,NA
Rubus laciniatus,neo,NA
Rubus lividus,native,C1r
Rubus lobifolius,native,NA
Rubus lucentifolius,native,C4b
Rubus lusaticus,native,C1r
Rubus macrophyllus,native,C2r
Rubus mancus,native,NA
Rubus micans,native,C2r
Rubus mollis,native,NA
Rubus montanus,native,NA
Rubus moschus,neo,NA
Rubus muhelicus,native,C3
Rubus nemoralis,native,C2r
Rubus nemorosus,native,C2r
Rubus nessensis,native,NA
Rubus occidentalis,neo,NA
Rubus odoratus,neo,NA
Rubus orthostachyoides,native,C2r
Rubus orthostachys,native,NA
Rubus parthenocissus,native,NA
Rubus parviflorus,neo,NA
Rubus passaviensis,native,C1r
Rubus pedemontanus,native,NA
Rubus pericrispatus,native,NA
Rubus perlongus,native,NA
Rubus permalacus,native,C4a
Rubus permutabilis,native,NA
Rubus perpedatus,native,C3
Rubus perperus,native,NA
Rubus perpungens,native,NA
Rubus perrobustus,native,NA
Rubus phoenicolasius,neo,NA
Rubus phyllostachys,native,C4a
Rubus placidus,native,NA
Rubus plicatus,native,NA
Rubus portae-moravicae,native,C3
Rubus posnaniensis,native,C2r
Rubus praecox,native,C4a
Rubus pruinosus,native,C1r
Rubus pulchricuspis,native,NA
Rubus pyramidalis,native,C1r
Rubus radula,native,NA
Rubus rudis,native,C4a
Rubus salisburgensis,native,NA
Rubus saxatilis,native,C3
Rubus scaber,native,C1r
Rubus scabrosus,native,C2r
Rubus schleicheri,native,NA
Rubus scissoides,native,C3
Rubus sect. Corylifolii,native,NA
Rubus sect. Rubus,native,NA
Rubus sendtneri,native,C2r
Rubus senticosus,native,C2r
Rubus ser. Glandulosi,native,NA
Rubus siemianicensis,native,C4a
Rubus silesiacus,native,NA
Rubus silvae-bavaricae,native,NA
Rubus silvae-bohemicae,native,C4a
Rubus silvae-norticae,native,C3
Rubus silvaticus,neo,NA
Rubus sorbicus,native,C1r
Rubus sprengelii,native,C3
Rubus stimulifer,native,NA
Rubus stohrii,native,NA
Rubus subclusii,native,NA
Rubus subg. Anoplobatus,native,NA
Rubus subg. Chamaerubus,native,C1r
Rubus subg. Cylactis,native,NA
Rubus subg. Idaeobatus,native,NA
Rubus subg. Rubus,native,NA
Rubus subgothicus,native,NA
Rubus sulcatus,native,NA
Rubus supralucidus,native,C4b
Rubus tabanimontanus,native,NA
Rubus thelybatos,native,C3
Rubus tuberculatus,neo,NA
Rubus ulmifolius,neo,NA
Rubus vatavensis,native,NA
Rubus velutinus,native,NA
Rubus vestitus,native,C2r
Rubus violaceifrons,native,NA
Rubus vratnensis,native,C3
Rubus wahlbergii,native,C2r
Rubus wessbergii,native,C3
Rubus wimmerianus,native,NA
Rubus wirtgenii,native,NA
Rubus xanthocarpus,neo,NA
Rudbeckia fulgida,neo,NA
Rudbeckia hirta,neo,NA
Rudbeckia laciniata,neo,NA
Rumex x abortivus,native,NA
Rumex x ambigens,native,NA
Rumex x armoraciifolius,native,NA
Rumex x callianthemus,native,NA
Rumex x conspersus,native,NA
Rumex x corconticus,neo,NA
Rumex x duftii,native,NA
Rumex x fallacinus,native,NA
Rumex x henrardii,native,NA
Rumex x heterophyllus,native,NA
Rumex x hybridus,neo,NA
Rumex x intercedens,native,NA
Rumex x knafii,native,NA
Rumex x mezei,neo,NA
Rumex x niesslii,native,NA
Rumex x platyphyllos,native,NA
Rumex x pratensis,native,NA
Rumex x propinquus,neo,NA
Rumex x ruehmeri,native,NA
Rumex x sagorskii,native,NA
Rumex x schreberi,native,NA
Rumex x schulzei,native,NA
Rumex x stenophylloides,native,NA
Rumex acetosa,native,NA
Rumex acetosa x  R. arifolius,NA,NA
Rumex acetosa x  R. thyrsiflorus,NA,NA
Rumex acetosella,native,NA
Rumex acetosella subsp. acetosella,native,NA
Rumex acetosella subsp. acetoselloides,native,NA
Rumex acetosella subsp. multifidus,native,C4b
Rumex acetosella subsp. pyrenaicus,native,C4b
Rumex alpinus,neo,NA
Rumex aquaticus,native,NA
Rumex aquaticus subsp. aquaticus,native,NA
Rumex arifolius,native,NA
Rumex brownii,neo,NA
Rumex confertus,neo,NA
Rumex conglomeratus,native,NA
Rumex conglomeratus x  R. obtusifolius x  R. stenophyllus,NA,NA
Rumex crispus,native,NA
Rumex dentatus,neo,NA
Rumex dentatus subsp. halacsyi,neo,NA
Rumex hydrolapathum,native,NA
Rumex longifolius,neo,NA
Rumex longifolius subsp. longifolius,neo,NA
Rumex longifolius subsp. sourekii,neo,NA
Rumex maritimus,native,NA
Rumex obovatus,neo,NA
Rumex obtusifolius,native,NA
Rumex obtusifolius var. microcarpus,native,NA
Rumex obtusifolius var. obtusifolius,native,NA
Rumex obtusifolius var. subalpinus,native,NA
Rumex obtusifolius var. transiens,native,NA
Rumex palustris,native,C2b
Rumex palustris x  R. stenophyllus,NA,NA
Rumex patientia,neo,NA
Rumex patientia x  R. tianschanicus ‘Uteuša’,neo,NA
Rumex patientia subsp. patientia,neo,NA
Rumex rugosus,NA,NA
Rumex sanguineus,native,NA
Rumex scutatus,neo,NA
Rumex stenophyllus,native,C2b
Rumex thyrsiflorus,neo,NA
Rumex triangulivalvis,neo,NA
Ruta graveolens,NA,NA
Sagina x lemoviscensis,native,NA
Sagina x normaniana,native,NA
Sagina alexandrae,native,A2
Sagina apetala,native,C1b
Sagina apetala subsp. apetala,native,C1b
Sagina apetala subsp. erecta,native,C1b
Sagina nodosa,native,A2
Sagina procumbens,native,NA
Sagina saginoides,native,C2b
Sagittaria latifolia,neo,NA
Sagittaria sagittifolia,native,NA
Salicornia perennans,native,A1
Salix ‘Americana’,NA,NA
Salix x alopecuroides,native,NA
Salix x bifida,native,NA
Salix x capnoides,native,NA
Salix x capreola,native,NA
Salix x chlorophana,native,NA
Salix x dichroa,native,NA
Salix x doniana,native,NA
Salix x ehrhartiana,native,NA
Salix x erdingeri,native,NA
Salix x fruticosa,native,NA
Salix x holosericea,native,NA
Salix x incubacea,native,NA
Salix x macrophylla,native,NA
Salix x meyeriana,native,NA
Salix x mollissima,native,NA
Salix x multinervis,native,NA
Salix x nepetifolia,native,NA
Salix x oleifolia,native,NA
Salix x onusta,native,NA
Salix x parviflora,native,NA
Salix x paxii,native,NA
Salix x pendulina,native,NA
Salix x plicata,native,NA
Salix x pontederana,native,NA
Salix x reichardtii,native,NA
Salix x reuteri,native,NA
Salix x rubens,native,NA
Salix x rubra,native,NA
Salix x sepulcralis,neo,NA
Salix x siegertii,native,NA
Salix x smithiana,native,NA
Salix x spathulata,native,NA
Salix x subaurita,native,NA
Salix x subcaprea,native,NA
Salix x subcinerea,native,NA
Salix x undulata,native,NA
Salix x wimmeriana,native,NA
Salix acutifolia,neo,NA
Salix alba,native,NA
Salix alba ‘Tristis’,NA,NA
Salix alba x  S. euxina x  S. triandra,native,NA
Salix appendiculata,native,C1r
Salix aurita,native,NA
Salix aurita x  S. caprea x  S. silesiaca,native,NA
Salix babylonica,NA,NA
Salix bicolor,native,C1r
Salix caprea,native,NA
Salix cinerea,native,NA
Salix cordata,neo,NA
Salix daphnoides,native,C2r
Salix elaeagnos,native,C2b
Salix euxina,native,NA
Salix hastata,native,C1r
Salix hastata subsp. vegeta,native,C1r
Salix herbacea,native,C1b
Salix interior,NA,NA
Salix lapponum,native,C2r
Salix lapponum var. daphneola,native,C1r
Salix lapponum var. lapponum,native,C2r
Salix matsudana,NA,NA
Salix matsudana ‘Tortuosa’,neo,NA
Salix melanopsis,neo,NA
Salix myrsinifolia,native,C1b
Salix myrtilloides,native,C1b
Salix pentandra,native,C4a
Salix purpurea,native,NA
Salix repens,native,C2b
Salix repens agg.,native,NA
Salix rosmarinifolia,native,C3
Salix rosmarinifolia x  S. viminalis,NA,NA
Salix silesiaca,native,C4a
Salix starkeana,native,A1
Salix triandra,native,NA
Salix triandra subsp. amygdalina,native,C4b
Salix triandra subsp. triandra,native,NA
Salix viminalis,native,NA
Salpiglossis sinuata,NA,NA
Salsola collina,neo,NA
Salsola tragus,native,C2t
Salsola tragus subsp. tragus,native,C2t
Salvia x sylvestris,native,NA
Salvia aethiopis,native,C1t
Salvia austriaca,native,C4b
Salvia glutinosa,native,NA
Salvia hispanica,neo,NA
Salvia nemorosa,native,NA
Salvia nemorosa subsp. nemorosa,native,NA
Salvia officinalis,arch,NA
Salvia pratensis,native,NA
Salvia reflexa,neo,NA
Salvia sclarea,neo,NA
Salvia spinosa,neo,NA
Salvia splendens,NA,NA
Salvia verbenaca,neo,NA
Salvia verticillata,native,NA
Salvia viridis,neo,NA
Salvinia natans,native,C1t
Sambucus ebulus,arch,NA
Sambucus nigra,native,NA
Sambucus racemosa,native,NA
Samolus valerandi,native,C1t
Sanguisorba minor,native,NA
Sanguisorba minor subsp. balearica,neo,NA
Sanguisorba minor subsp. minor,native,NA
Sanguisorba officinalis,native,NA
Sanguisorba tenuifolia,neo,NA
Sanicula europaea,native,NA
Santolina chamaecyparissus,neo,NA
Saponaria ocymoides,neo,NA
Saponaria officinalis,arch,NA
Sarracenia purpurea,neo,NA
Sasa palmata,neo,NA
Sasa palmata ‘Nebulosa’,neo,NA
Satureja hortensis,arch,NA
Satureja montana,NA,NA
Saxifraga x geum,neo,NA
Saxifraga x urbium,NA,NA
Saxifraga bulbifera,native,C3
Saxifraga cuneifolia,neo,NA
Saxifraga cymbalaria,neo,NA
Saxifraga granulata,native,NA
Saxifraga granulata subsp. granulata,native,NA
Saxifraga hirsuta,NA,NA
Saxifraga hostii,neo,NA
Saxifraga hostii subsp. hostii,neo,NA
Saxifraga hypnoides,neo,NA
Saxifraga moschata,native,A3
Saxifraga moschata subsp. basaltica,native,A3
Saxifraga oppositifolia,native,C1r
Saxifraga oppositifolia subsp. oppositifolia,native,C1r
Saxifraga paniculata,native,C3
Saxifraga rosacea,native,C2r
Saxifraga rosacea subsp. sponhemica,native,C2r
Saxifraga rosacea subsp. steinmannii,native,C1r
Saxifraga rotundifolia,neo,NA
Saxifraga spathularis,NA,NA
Saxifraga tridactylites,native,C3
Saxifraga umbrosa,NA,NA
Saxifraga umbrosa agg.,neo,NA
Scabiosa x janchenii,native,NA
Scabiosa canescens,native,C3
Scabiosa columbaria,native,C3
Scabiosa lucida,native,C1r
Scabiosa lucida subsp. calcicola,native,C1r
Scabiosa lucida subsp. lucida,native,C1r
Scabiosa ochroleuca,native,NA
Scandix pecten-veneris,arch,C1t
Scheuchzeria palustris,native,C1b
Schismus barbatus,neo,NA
Schkuhria pinnata,neo,NA
Schoenoplectus lacustris,native,C4a
Schoenoplectus mucronatus,native,A3
Schoenoplectus pungens,native,A3
Schoenoplectus supinus,native,A1
Schoenoplectus tabernaemontani,native,C2b
Schoenoplectus triqueter,native,A1
Schoenus x scheuchzeri,native,NA
Schoenus ferrugineus,native,C1t
Schoenus nigricans,native,C1t
Scilla bifolia,native,C2r
Scilla bifolia x  S. luciliae agg.,NA,NA
Scilla bifolia agg.,native,NA
Scilla bifolia subsp. bifolia,native,C2b
Scilla bifolia subsp. buekkensis,native,C2r
Scilla bifolia subsp. rara,native,C1r
Scilla bifolia subsp. spetana,native,C1r
Scilla bifolia var. bohemica,native,C1r
Scilla bifolia var. drunensis,native,C2b
Scilla bifolia var. magnomoravica,native,C1r
Scilla bifolia var. spetana,native,C1r
Scilla forbesii,neo,NA
Scilla kladnii,native,C2b
Scilla luciliae,neo,NA
Scilla luciliae agg.,neo,NA
Scilla sardensis,neo,NA
Scilla vindobonensis,native,C3
Scirpoides holoschoenus,native,C2b
Scirpus x celakovskyanus,native,NA
Scirpus radicans,native,C3
Scirpus sylvaticus,native,NA
Scleranthus x intermedius,native,NA
Scleranthus x podperae,native,NA
Scleranthus annuus,native,NA
Scleranthus annuus agg.,native,NA
Scleranthus perennis,native,NA
Scleranthus perennis subsp. perennis,native,NA
Scleranthus polycarpos,native,C3
Scleranthus verticillatus,native,A1
Scleroblitum atriplicinum,neo,NA
Sclerochloa dura,arch,C2b
Sclerolaena tricuspis,neo,NA
Scolymus maculatus,neo,NA
Scoparia dulcis,neo,NA
Scopolia carniolica,neo,NA
Scorpiurus muricatus,neo,NA
Scorzonera austriaca,native,C4a
Scorzonera cana,native,C3
Scorzonera hispanica,native,C3
Scorzonera humilis,native,C4a
Scorzonera laciniata,native,C1t
Scorzonera parviflora,native,C1t
Scorzonera purpurea,native,C2b
Scorzoneroides autumnalis,native,NA
Scrophularia canina,neo,NA
Scrophularia chrysantha,neo,NA
Scrophularia nodosa,native,NA
Scrophularia scopolii,native,C3
Scrophularia umbrosa,native,C4a
Scrophularia umbrosa subsp. neesii,native,C4b
Scrophularia umbrosa subsp. umbrosa,native,C4a
Scrophularia vernalis,native,C2r
Scutellaria altissima,neo,NA
Scutellaria galericulata,native,NA
Scutellaria hastifolia,native,C2b
Secale cereale,arch,NA
Securigera moravica,native,A3
Securigera varia,native,NA
Sedobassia sedoides,neo,NA
Sedum acre,native,NA
Sedum aizoon,neo,NA
Sedum album,native,NA
Sedum alpestre,native,C2r
Sedum annuum,neo,NA
Sedum hispanicum,neo,NA
Sedum hybridum,neo,NA
Sedum ochroleucum,neo,NA
Sedum pallidum,neo,NA
Sedum reflexum,native,NA
Sedum rupestre,neo,NA
Sedum rupestre agg.,native,NA
Sedum rupestre subsp. erectum,neo,NA
Sedum sarmentosum,neo,NA
Sedum sexangulare,native,NA
Sedum spurium,neo,NA
Sedum stoloniferum,neo,NA
Sedum villosum,native,C1t
Selaginella helvetica,native,A1
Selaginella kraussiana,neo,NA
Selaginella selaginoides,native,C2r
Selinum carvifolia,native,NA
Sempervivum tectorum,NA,NA
Senecio x decipiens,native,NA
Senecio x futakii,native,NA
Senecio x heimerlii,native,NA
Senecio x helwingii,neo,NA
Senecio x viscidulus,native,NA
Senecio aquaticus,native,NA
Senecio aquaticus agg.,native,NA
Senecio doria,native,C1t
Senecio doria agg.,native,NA
Senecio erraticus,native,C3
Senecio erucifolius,native,C2b
Senecio germanicus,native,NA
Senecio germanicus subsp. germanicus,native,NA
Senecio germanicus subsp. glabratus,native,NA
Senecio hercynicus,native,NA
Senecio inaequidens,neo,NA
Senecio jacobaea,native,NA
Senecio jacobaea agg.,native,NA
Senecio jacobaea subsp. jacobaea,native,NA
Senecio nemorensis agg.,native,NA
Senecio ovatus,native,NA
Senecio ovatus subsp. ovatus,native,NA
Senecio paludosus,native,C1b
Senecio paludosus subsp. angustifolius,native,A1
Senecio paludosus subsp. lanatus,native,A1
Senecio paludosus subsp. paludosus,native,C1b
Senecio rupestris,native,C1b
Senecio sarracenicus,native,C2b
Senecio squalidus,NA,NA
Senecio subalpinus,native,C2r
Senecio sylvaticus,native,NA
Senecio umbrosus,native,C2r
Senecio vernalis,neo,NA
Senecio viscosus,native,NA
Senecio vulgaris,arch,NA
Senecio vulgaris subsp. vulgaris,arch,NA
Sequoiadendron giganteum,NA,NA
Serratula tinctoria,native,C4a
Serratula tinctoria subsp. tinctoria,native,C4a
Seseli annuum,native,C3
Seseli hippomarathrum,native,C3
Seseli osseum,native,C4a
Seseli pallasii,native,C2b
Sesleria caerulea,native,NA
Sesleria uliginosa,native,C1t
Setaria adhaerens,neo,NA
Setaria faberi,neo,NA
Setaria italica,arch,NA
Setaria italica subsp. italica,arch,NA
Setaria italica subsp. moharia,arch,NA
Setaria pumila,arch,NA
Setaria verticillata,arch,NA
Setaria verticillata agg.,arch,NA
Setaria verticilliformis,arch,NA
Setaria viridis,arch,NA
Setaria viridis subsp. pycnocoma,neo,NA
Setaria viridis subsp. viridis,arch,NA
Sherardia arvensis,arch,NA
Sicyos angulatus,neo,NA
Sida hermaphrodita,neo,NA
Sida rhombifolia,neo,NA
Sida rhombifolia subsp. rhombifolia,neo,NA
Sida spinosa,neo,NA
Sideritis montana,native,C1t
Silaum silaus,native,C3
Silene x grecescui,neo,NA
Silene x hampeana,arch,NA
Silene baccifera,native,C3
Silene bupleuroides,native,A1
Silene conica,native,A1
Silene cretica,neo,NA
Silene csereii,neo,NA
Silene dichotoma,neo,NA
Silene dichotoma subsp. dichotoma,neo,NA
Silene dioica,native,NA
Silene gallica,arch,C1t
Silene latifolia,arch,NA
Silene latifolia subsp. alba,arch,NA
Silene nemoralis,native,C2b
Silene noctiflora,arch,C4a
Silene nutans,native,NA
Silene otites,native,C3
Silene pendula,neo,NA
Silene stricta,neo,NA
Silene viridiflora,neo,NA
Silene viscosa,native,C1t
Silene vulgaris,native,NA
Silene vulgaris subsp. antelopum,native,C4b
Silene vulgaris subsp. vulgaris,native,NA
Silphium perfoliatum,neo,NA
Silybum marianum,arch,NA
Sinapis alba,NA,NA
Sinapis arvensis,arch,NA
Sinapis dissecta,neo,NA
Sisymbrium altissimum,neo,NA
Sisymbrium austriacum,neo,NA
Sisymbrium austriacum subsp. austriacum,neo,NA
Sisymbrium irio,neo,NA
Sisymbrium loeselii,NA,NA
Sisymbrium officinale,arch,NA
Sisymbrium orientale,native,NA
Sisymbrium orientale subsp. macroloma,neo,NA
Sisymbrium orientale subsp. orientale,native,C2t
Sisymbrium polymorphum,neo,NA
Sisymbrium strictissimum,neo,NA
Sisymbrium volgense,neo,NA
Sisyrinchium montanum,neo,NA
Sium latifolium,native,C2b
Sium sisarum,NA,NA
Smyrnium perfoliatum,neo,NA
Solanum alatum,arch,NA
Solanum americanum,neo,NA
Solanum capsicastrum,NA,NA
Solanum carolinense,neo,NA
Solanum cornutum,neo,NA
Solanum decipiens,neo,NA
Solanum dulcamara,native,NA
Solanum linnaeanum,neo,NA
Solanum lycopersicum,neo,NA
Solanum melongena,neo,NA
Solanum nigrum,native,NA
Solanum nigrum agg.,native,NA
Solanum physalifolium,neo,NA
Solanum pseudocapsicum,neo,NA
Solanum pyracanthos,neo,NA
Solanum scabrum,neo,NA
Solanum sisymbriifolium,neo,NA
Solanum triflorum,neo,NA
Solanum tuberosum,neo,NA
Solanum villosum,neo,NA
Soldanella montana,native,C3
Solidago canadensis,neo,NA
Solidago gigantea,neo,NA
Solidago graminifolia,neo,NA
Solidago virgaurea,native,NA
Solidago virgaurea subsp. minuta,native,NA
Solidago virgaurea subsp. virgaurea,native,NA
Sonchus arvensis,arch,NA
Sonchus arvensis subsp. arvensis,arch,NA
Sonchus asper,arch,NA
Sonchus oleraceus,arch,NA
Sonchus palustris,native,C2b
Sophora japonica,NA,NA
Sorbaria sorbifolia,neo,NA
Sorbus x abscondita,native,NA
Sorbus x decipiens,native,NA
Sorbus x kitaibeliana,native,NA
Sorbus x thuringiaca,native,NA
Sorbus albensis,native,C2r
Sorbus alnifrons,native,C1r
Sorbus aria,native,C2b
Sorbus aria x  S. danubialis,native,NA
Sorbus aria agg.,native,NA
Sorbus aucuparia,native,NA
Sorbus aucuparia var. aucuparia,native,NA
Sorbus aucuparia var. glabrata,native,NA
Sorbus austriaca,neo,NA
Sorbus barrandienica,native,C1b
Sorbus barrandienica x  S. torminalis,native,NA
Sorbus bohemica,native,C2b
Sorbus collina,native,C3
Sorbus cucullifera,native,C1b
Sorbus danubialis,native,C3
Sorbus domestica,arch,NA
Sorbus eximia,native,C2b
Sorbus gemella,native,C1b
Sorbus gemella x  S. torminalis,native,NA
Sorbus hybrida,native,NA
Sorbus hybrida agg.,native,NA
Sorbus intermedia,neo,A3
Sorbus latifolia,neo,NA
Sorbus latifolia agg.,native,NA
Sorbus milensis,native,C1b
Sorbus moravica,native,C1r
Sorbus mougeotii,neo,NA
Sorbus omissa,native,C1r
Sorbus pauca,native,C1r
Sorbus pontis-satanae,native,C1r
Sorbus portae-bohemicae,native,C1b
Sorbus rhodanthera,native,C1b
Sorbus sudetica,native,C1b
Sorbus thayensis,native,C1r
Sorbus torminalis,native,C4a
Sorghum bicolor,neo,NA
Sorghum drummondii,neo,NA
Sorghum halepense,neo,NA
Sparganium angustifolium,native,C1r
Sparganium emersum,native,NA
Sparganium erectum,native,NA
Sparganium erectum subsp. erectum,native,NA
Sparganium erectum subsp. microcarpum,native,NA
Sparganium erectum subsp. neglectum,native,C4b
Sparganium erectum subsp. oocarpum,native,C4b
Sparganium natans,native,C2b
Spartium junceum,NA,NA
Spergula arvensis,arch,NA
Spergula arvensis subsp. arvensis,arch,NA
Spergula arvensis subsp. linicola,arch,A1
Spergula arvensis subsp. maxima,arch,A1
Spergula arvensis subsp. sativa,arch,NA
Spergula morisonii,native,C3
Spergula pentandra,native,C1t
Spergularia echinosperma,native,C2b
Spergularia echinosperma subsp. albensis,native,NA
Spergularia echinosperma subsp. echinosperma,native,NA
